# bench_static_markup_with_demo_app
runs,cycles,nanos,compactions,minor_allocated,major_allocated,promoted,major_collections,minor_collections
502,8094167,8097171,0,1576355,526439,3857,0,6
507,8169458,8170843,0,1578348,531644,3857,0,6
512,8316250,8317947,0,1580341,536849,3857,0,6
517,8355000,8354902,0,1582334,542054,3857,0,6
522,8397791,8399009,0,1584327,547259,3857,0,6
527,8560042,8563995,0,1586320,552464,3857,0,6
532,8677167,8678913,0,1588313,557669,3857,0,6
537,8903417,8907079,0,1590307,562874,3857,0,6
542,8732584,8733034,0,1592300,568079,3857,0,6
547,8852417,8853197,0,1594293,573284,3857,0,6
552,8980791,8981943,0,1596286,578489,3857,0,6
557,8951083,8952140,0,1598279,583694,3857,0,6
562,9078042,9078741,0,1600272,588899,3857,0,6
567,9204417,9205818,0,1602265,594104,3857,0,6
572,9256667,9257078,0,1604258,599309,3857,0,6
577,9401292,9403228,0,1835626,605141,4484,0,7
582,9336792,9337902,0,1837619,610346,4484,0,7
587,9670084,9671926,0,1839612,615551,4484,0,7
592,9459917,9461164,0,1841605,620756,4484,0,7
597,9630583,9634017,0,1843598,625961,4484,0,7
602,9675917,9677648,0,1845591,631166,4484,0,7
608,9849250,9850025,0,1847983,637412,4484,0,7
614,10000334,10004043,0,1850375,643658,4484,0,7
620,9977959,9981155,0,1852767,649904,4484,0,7
626,10163250,10166168,0,1855158,656150,4484,0,7
632,10400125,10401010,0,1857550,662396,4484,0,7
638,10232583,10236263,0,1859942,668642,4484,0,7
644,10576667,10578870,0,1862334,674888,4484,0,7
650,10605333,10609865,0,1864725,681134,4484,0,7
656,10575750,10576725,0,1867117,687380,4484,0,7
662,10664000,10664939,0,2098881,694464,5322,0,8
668,11033917,11039018,0,2101272,700710,5322,0,8
674,10945584,10946989,0,2103664,706956,5322,0,8
680,11066000,11069059,0,2106056,713202,5322,0,8
686,11118916,11121273,0,2108448,719448,5322,0,8
692,11178416,11178970,0,2110839,725694,5322,0,8
698,11384125,11384963,0,2113231,731940,5322,0,8
704,11361084,11365890,0,2115623,738186,5322,0,8
711,11462250,11463880,0,2118413,745473,5322,0,8
718,11537000,11538028,0,2121204,752760,5322,0,8
725,12075541,12078046,0,2123994,760047,5322,0,8
732,11777167,11778831,0,2126784,767334,5322,0,8
739,11989250,11990070,0,2129575,774621,5322,0,8
746,11995250,11998176,0,2361735,782911,6325,0,9
753,12339042,12340068,0,2364525,790198,6325,0,9
760,12263917,12267112,0,2367316,797485,6325,0,9
767,12400541,12402057,0,2370106,804772,6325,0,9
774,12465208,12466192,0,2372896,812059,6325,0,9
781,12613500,12614965,0,2375687,819346,6325,0,9
788,12757708,12758970,0,2378477,826633,6325,0,9
795,12875959,12876033,0,2381268,833920,6325,0,9
802,13027709,13029098,0,2384058,841207,6325,0,9
